42.8880 	EXP 	text_4: text = u'5'
43.9391 	EXP 	text_4: text = '6'
43.9391 	EXP 	text_4: text = u'6'
44.8915 	EXP 	Sound  started
44.9379 	EXP 	text_4: text = '7'
44.9379 	EXP 	text_4: text = u'7'
46.0971 	EXP 	Sound  started
47.2986 	EXP 	Sound  started
48.5018 	EXP 	Sound  started
49.7039 	EXP 	Sound  started
49.7369 	EXP 	text_4: text = '8'
49.7369 	EXP 	text_4: text = u'8'
49.7369 	EXP 	text_4: text = '9'
49.7369 	EXP 	text_4: text = u'9'
49.7369 	EXP 	text_4: text = '8'
49.7369 	EXP 	text_4: text = u'8'
49.7369 	EXP 	text_4: text = '7'
49.7369 	EXP 	text_4: text = u'7'
49.7975 	DATA 	Keypress: escape
49.8226 	EXP 	text_4: text = '6'
49.8226 	EXP 	text_4: text = u'6'
