get_size_key.keys,get_size_key.rt,k_ask_lower.keys,k_ask_lower.rt,date,frameRate,expName,session,participant,
1,3.17760737243,,,2015_jun_01_0848,59.9548437269,loc_v1,001,sdf,
,,4,1.91558677968,2015_jun_01_0848,59.9548437269,loc_v1,001,sdf,
