eeg_resp.keys,eeg_resp.rt,key_begin.keys,key_begin.rt,date,frameRate,expName,session,participant,
1,1.27306316094,,,2015_mei_28_2055,59.8636467365,loc_v1,001,asd,
,,space,1.05140139599,2015_mei_28_2055,59.8636467365,loc_v1,001,asd,
