19.0874 	EXP 	Created unnamed PatchStim = PatchStim(autoDraw=False, autoLog=True, color=array([-0.25, -0.25, -0.25]), colorSpace='rgb', contrast=1.0, depth=0, interpolate=False, mask='circle', maskParams=None, name='unnamed PatchStim', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 0.12,  0.12]), tex=None, texRes=128, units=u'norm', win=Window(...))
19.1369 	EXP 	instr_text: autoDraw = False
20.1985 	EXP 	text_4: text = '1'
20.1985 	EXP 	text_4: text = u'1'
21.3005 	EXP 	text_4: text = '2'
21.3005 	EXP 	text_4: text = u'2'
22.1999 	EXP 	text_4: text = '3'
22.1999 	EXP 	text_4: text = u'3'
23.1988 	EXP 	text_4: text = '4'
23.1988 	EXP 	text_4: text = u'4'
24.1984 	EXP 	text_4: text = '5'
24.1984 	EXP 	text_4: text = u'5'
25.2033 	EXP 	text_4: text = '6'
25.2033 	EXP 	text_4: text = u'6'
26.1987 	EXP 	text_4: text = '7'
26.1987 	EXP 	text_4: text = u'7'
27.2003 	EXP 	text_4: text = '8'
27.2003 	EXP 	text_4: text = u'8'
28.2009 	EXP 	text_4: text = '7'
28.2009 	EXP 	text_4: text = u'7'
29.0890 	EXP 	Sound  started
29.1983 	EXP 	text_4: text = '6'
29.1983 	EXP 	text_4: text = u'6'
30.1986 	EXP 	text_4: text = '5'
30.1986 	EXP 	text_4: text = u'5'
30.2910 	EXP 	Sound  started
31.1836 	EXP 	text_4: text = '4'
31.1836 	EXP 	text_4: text = u'4'
31.4929 	EXP 	Sound  started
32.2038 	EXP 	text_4: text = '3'
32.2038 	EXP 	text_4: text = u'3'
32.6950 	EXP 	Sound  started
33.1986 	EXP 	text_4: text = '2'
33.1986 	EXP 	text_4: text = u'2'
33.8971 	EXP 	Sound  started
34.1822 	EXP 	text_4: text = '1'
34.1822 	EXP 	text_4: text = u'1'
35.0986 	EXP 	Sound  started
35.1983 	EXP 	text_4: text = '0'
35.1983 	EXP 	text_4: text = u'0'
36.1986 	EXP 	text_4: text = '9'
36.1986 	EXP 	text_4: text = u'9'
36.3000 	EXP 	Sound  started
37.2318 	EXP 	text_4: text = '8'
37.2318 	EXP 	text_4: text = u'8'
37.5025 	EXP 	Sound  started
38.2153 	EXP 	text_4: text = '7'
38.2153 	EXP 	text_4: text = u'7'
38.7044 	EXP 	Sound  started
39.2994 	EXP 	text_4: text = '6'
39.2994 	EXP 	text_4: text = u'6'
40.2487 	EXP 	text_4: text = '7'
40.2487 	EXP 	text_4: text = u'7'
41.2153 	EXP 	text_4: text = '8'
41.2153 	EXP 	text_4: text = u'8'
42.3150 	EXP 	text_4: text = '9'
42.3150 	EXP 	text_4: text = u'9'
43.2652 	EXP 	text_4: text = '0'
43.2652 	EXP 	text_4: text = u'0'
44.2319 	EXP 	text_4: text = '1'
44.2319 	EXP 	text_4: text = u'1'
45.3154 	EXP 	text_4: text = '2'
45.3154 	EXP 	text_4: text = u'2'
46.2648 	EXP 	text_4: text = '3'
46.2648 	EXP 	text_4: text = u'3'
47.2325 	EXP 	text_4: text = '4'
47.2325 	EXP 	text_4: text = u'4'
48.1979 	EXP 	text_4: text = '5'
48.1979 	EXP 	text_4: text = u'5'
49.0889 	EXP 	Sound  started
49.2838 	EXP 	text_4: text = '6'
49.2838 	EXP 	text_4: text = u'6'
50.2702 	EXP 	text_4: text = '7'
50.2702 	EXP 	text_4: text = u'7'
50.2923 	EXP 	Sound  started
51.2228 	EXP 	text_4: text = '8'
51.2228 	EXP 	text_4: text = u'8'
51.4954 	EXP 	Sound  started
52.3026 	EXP 	text_4: text = '9'
52.3026 	EXP 	text_4: text = u'9'
52.6990 	EXP 	Sound  started
53.2691 	EXP 	text_4: text = '0'
53.2691 	EXP 	text_4: text = u'0'
53.9019 	EXP 	Sound  started
54.2202 	EXP 	text_4: text = '9'
54.2202 	EXP 	text_4: text = u'9'
55.0815 	DATA 	Keypress: escape
