eeg_resp.keys,eeg_resp.rt,key_begin.keys,key_begin.rt,date,frameRate,expName,session,participant,
1,1.04417227471,,,2015_mei_29_0919,60.0563020356,loc_v1,001,dfg,
,,space,0.850108368555,2015_mei_29_0919,60.0563020356,loc_v1,001,dfg,
