eeg_resp.keys,eeg_resp.rt,key_begin.keys,key_begin.rt,date,frameRate,expName,session,participant,
1,2.34367963866,,,2015_mei_28_1748,29.646263207,loc_v1,001,,
,,space,1.63244912935,2015_mei_28_1748,29.646263207,loc_v1,001,,
