4.5585 	WARNING 	Framebuffer object (FBO) not supported on this graphics card
33.9076 	EXP 	text_4: text = '5'
33.9076 	EXP 	text_4: text = u'5'
34.9969 	EXP 	text_4: text = '6'
34.9969 	EXP 	text_4: text = u'6'
35.9791 	EXP 	text_4: text = '7'
35.9791 	EXP 	text_4: text = u'7'
36.9159 	EXP 	text_4: text = '8'
36.9159 	EXP 	text_4: text = u'8'
38.0069 	EXP 	text_4: text = '9'
38.0069 	EXP 	text_4: text = u'9'
38.9804 	EXP 	text_4: text = '8'
38.9804 	EXP 	text_4: text = u'8'
39.9218 	EXP 	text_4: text = '7'
39.9218 	EXP 	text_4: text = u'7'
40.8584 	EXP 	Sound  started
40.8880 	EXP 	text_4: text = '6'
40.8880 	EXP 	text_4: text = u'6'
41.9883 	EXP 	text_4: text = '5'
41.9883 	EXP 	text_4: text = u'5'
42.0594 	EXP 	Sound  started
42.9284 	EXP 	text_4: text = '4'
42.9284 	EXP 	text_4: text = u'4'
43.2610 	EXP 	Sound  started
43.8936 	EXP 	text_4: text = '3'
43.8936 	EXP 	text_4: text = u'3'
44.4625 	EXP 	Sound  started
44.9926 	EXP 	text_4: text = '2'
44.9926 	EXP 	text_4: text = u'2'
45.6635 	EXP 	Sound  started
45.8758 	EXP 	text_4: text = '1'
45.8758 	EXP 	text_4: text = u'1'
46.8647 	EXP 	Sound  started
46.8765 	EXP 	text_4: text = '0'
46.8765 	EXP 	text_4: text = u'0'
47.8758 	EXP 	text_4: text = '1'
47.8758 	EXP 	text_4: text = u'1'
48.0721 	EXP 	Sound  started
48.8763 	EXP 	text_4: text = '2'
48.8763 	EXP 	text_4: text = u'2'
49.2734 	EXP 	Sound  started
49.8762 	EXP 	text_4: text = '3'
49.8762 	EXP 	text_4: text = u'3'
50.4746 	EXP 	Sound  started
50.8770 	EXP 	text_4: text = '4'
50.8770 	EXP 	text_4: text = u'4'
51.8776 	EXP 	text_4: text = '5'
51.8776 	EXP 	text_4: text = u'5'
52.8792 	EXP 	text_4: text = '6'
52.8792 	EXP 	text_4: text = u'6'
53.8789 	EXP 	text_4: text = '7'
53.8789 	EXP 	text_4: text = u'7'
54.8796 	EXP 	text_4: text = '8'
54.8796 	EXP 	text_4: text = u'8'
55.8793 	EXP 	text_4: text = '9'
55.8793 	EXP 	text_4: text = u'9'
56.8802 	EXP 	text_4: text = '8'
56.8802 	EXP 	text_4: text = u'8'
57.8821 	EXP 	text_4: text = '7'
57.8821 	EXP 	text_4: text = u'7'
58.8824 	EXP 	text_4: text = '6'
58.8824 	EXP 	text_4: text = u'6'
59.8828 	EXP 	text_4: text = '5'
59.8828 	EXP 	text_4: text = u'5'
60.8582 	EXP 	Sound  started
60.8820 	EXP 	text_4: text = '4'
60.8820 	EXP 	text_4: text = u'4'
61.8815 	EXP 	text_4: text = '3'
61.8815 	EXP 	text_4: text = u'3'
62.2603 	EXP 	Sound  started
62.8806 	EXP 	text_4: text = '2'
62.8806 	EXP 	text_4: text = u'2'
63.6614 	EXP 	Sound  started
63.9734 	EXP 	text_4: text = '1'
63.9734 	EXP 	text_4: text = u'1'
64.9473 	EXP 	text_4: text = '2'
64.9473 	EXP 	text_4: text = u'2'
65.0640 	EXP 	Sound  started
65.8871 	EXP 	text_4: text = '3'
65.8871 	EXP 	text_4: text = u'3'
66.4666 	EXP 	Sound  started
66.9798 	EXP 	text_4: text = '4'
66.9798 	EXP 	text_4: text = u'4'
67.8675 	EXP 	Sound  started
67.9530 	EXP 	text_4: text = '5'
67.9530 	EXP 	text_4: text = u'5'
68.8948 	EXP 	text_4: text = '6'
68.8948 	EXP 	text_4: text = u'6'
69.2691 	EXP 	Sound  started
69.9873 	EXP 	text_4: text = '7'
69.9873 	EXP 	text_4: text = u'7'
70.6708 	EXP 	Sound  started
70.9618 	EXP 	text_4: text = '8'
70.9618 	EXP 	text_4: text = u'8'
71.9007 	EXP 	text_4: text = '9'
71.9007 	EXP 	text_4: text = u'9'
72.9932 	EXP 	text_4: text = '8'
72.9932 	EXP 	text_4: text = u'8'
73.9675 	EXP 	text_4: text = '7'
73.9675 	EXP 	text_4: text = u'7'
74.9071 	EXP 	text_4: text = '6'
74.9071 	EXP 	text_4: text = u'6'
76.0022 	EXP 	text_4: text = '5'
76.0022 	EXP 	text_4: text = u'5'
76.9718 	EXP 	text_4: text = '4'
76.9718 	EXP 	text_4: text = u'4'
77.9141 	EXP 	text_4: text = '3'
77.9141 	EXP 	text_4: text = u'3'
79.0067 	EXP 	text_4: text = '2'
79.0067 	EXP 	text_4: text = u'2'
79.9803 	EXP 	text_4: text = '3'
79.9803 	EXP 	text_4: text = u'3'
80.8795 	EXP 	text_4: text = '4'
80.8795 	EXP 	text_4: text = u'4'
81.8808 	EXP 	text_4: text = '5'
81.8808 	EXP 	text_4: text = u'5'
82.8815 	EXP 	text_4: text = '6'
82.8815 	EXP 	text_4: text = u'6'
83.8811 	EXP 	text_4: text = '7'
83.8811 	EXP 	text_4: text = u'7'
84.8804 	EXP 	text_4: text = '8'
84.8804 	EXP 	text_4: text = u'8'
85.8819 	EXP 	text_4: text = '9'
85.8819 	EXP 	text_4: text = u'9'
86.8811 	EXP 	text_4: text = '8'
