13.8441 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

40.3212 	EXP 	text_4: text = u'4'
41.4067 	EXP 	text_4: text = '3'
41.4067 	EXP 	text_4: text = u'3'
42.3742 	EXP 	text_4: text = '2'
42.3742 	EXP 	text_4: text = u'2'
43.3098 	EXP 	text_4: text = '1'
43.3098 	EXP 	text_4: text = u'1'
44.3096 	EXP 	text_4: text = '0'
44.3096 	EXP 	text_4: text = u'0'
45.3743 	EXP 	text_4: text = '9'
45.3743 	EXP 	text_4: text = u'9'
46.3432 	EXP 	text_4: text = '8'
46.3432 	EXP 	text_4: text = u'8'
47.2046 	EXP 	Sound  started
47.3109 	EXP 	text_4: text = '7'
47.3109 	EXP 	text_4: text = u'7'
48.3256 	EXP 	text_4: text = '6'
48.3256 	EXP 	text_4: text = u'6'
48.4153 	EXP 	Sound  started
49.3479 	EXP 	text_4: text = '5'
49.3479 	EXP 	text_4: text = u'5'
49.6208 	EXP 	Sound  started
50.3281 	EXP 	text_4: text = '4'
50.3281 	EXP 	text_4: text = u'4'
50.8245 	EXP 	Sound  started
51.3112 	EXP 	text_4: text = '3'
51.3112 	EXP 	text_4: text = u'3'
52.0281 	EXP 	Sound  started
52.2957 	EXP 	text_4: text = '4'
52.2957 	EXP 	text_4: text = u'4'
53.2337 	EXP 	Sound  started
53.2792 	EXP 	text_4: text = '5'
53.2792 	EXP 	text_4: text = u'5'
54.1024 	DATA 	Keypress: escape
